Valores de laboratorio representativos de referencia: sangre. plasma y suero,,,
Estudio,Muestra,Unidades convencionales,Unidades del SI
Acetoacetato,Plasma,< 3 mg/L,< 0.3 mmol/L
Acetilcolinesterasa (AChE). eritrocitos,Sangre,26.7 a 49.2 U/g Hb,1.72–3.17 x 106 U/mol Hb
Fosfatasa ácida (adultos),Suero,0.5–5 U/L,8–83 nkat/L
Tiempo parcial de tromboplastina activada (aPTT),Plasma,30-40 segundos,—
Hormona adrenocorticotrópica (ACTH),Suero,9–52 pg/mL (muestra matutina),2–11 pmol/L (muestra matutina)
Albúmina,Suero,3.5 a 5.4 g/dL,35-54 g/L
Aldosterona:,,,
De pie,Suero,7-20 ng/dL,194-554 pmol/L
Supino,Suero,2-5 ng/dL,55-138 pmol/L
Fosfatasa alcalina (ALP),Suero,36–150 U/L,0.5–2.5 mckat/L
Alfa-1 antitripsina (AAT),Suero,100–273 mg/dL,18–50 mcmol/L
Alfa fetoproteína (AFP),Suero,< 20 ng/mL,< 20 mcg/L
Ácido aminolevulínico. Delta (ALA),Suero,15-23 mcg/L,1.14-1.75 mcmol/L
Aminotransferasa. alanina (ALT),Suero,< 35 U/L,< 0.58 mckat/L
Aminotransferasa. aspartato (AST),Suero,< 35 U/L,< 0.58 mckat/L
Amoníaco,Plasma,40-80 mcg/dL,23-47 mcmol/L
Amilasa,Suero,< 110 U/L,< 1.8 mckat/L
Anticuerpos contra el antígeno nuclear extraíble (AENA),Suero,< 20.0 unidades/mL,—
Anticuerpos anti-péptido citrulinado cíclico (anti-CCP),Suero,≤ 20 unidades/mL,—
Hormona antidiurética (ADH; arginina vasopresina),Plasma,< 1.7 pg/mL,< 1.57 pmol/L
Anticuerpos anti-DNA de doble cadena. IgG,Suero,< 25 UI,—
Anticuerpos antimitocondriales M2,Suero,< 0.1 unidades,—
Anticuerpos anticitoplasma de neutrófilos (ANCA),Suero,Negativo,—
Anticuerpos antinucleares (ANA),Suero,≤ 1.0 unidad,—
Título de anticuerpos antimúsculo liso (ASMA),Suero,≤ 1:80,—
Título de antiestreptolisina O,Suero,< 150 unidades,—
Título de anticuerpos microsómicos antitiroideos,Suero,< 1:100,—
" Antitripsina, Alfa-1 (AAT)",Suero,83 a 199 mg/dL,15.3-36.6 mcmol/L
"Antitripsina, Alfa-1 (AAT)",Suero,83 a 199 mg/dL,"15,3-36,6 mcmol/L"
A-I. mujeres,Suero,98-210 mg/dL,0.98-2.1 g/L
A-I. varones,Suero,88-180 mg/dL,0.88 a 1.8 g/L
B-100. mujeres,Suero,44-148 mg/dL,0.44 a 1.48 g/L
B-100. varones,Suero,55–151 mg/dL,0.55 a 1.51 g/L
Bicarbonato,Suero,23-28 mEq/L,23-28 mmol/L
Bilirrubina:,,,
Directa,Suero,0-0.3 mg/dL,0–5.1 mcmol/L
Total,Suero,0.3–1.2 mg/dL,5.1-20.5 mcmol/L
Volúmenes sanguíneos (marcado con radioisótopo):,,,
Plasma. mujeres*,Sangre,28-43 mL/kg de peso corporal,0.028-0.043 L/kg de peso corporal
Plasma. varones*,Sangre,25-44 mL/kg de peso corporal,0.025-0.044 L/kg de peso corporal
Eritrocitos. mujeres*,Sangre,20-30 mL/kg de peso corporal,0.02-0.03 L/kg de peso corporal
Eritrocitos. varones*,Sangre,25-35 mL/kg de peso corporal,0.025-0.035 L/kg de peso corporal
Péptido natriurético cerebral (de tipo B),Plasma,< 100 pg/mL,< 100 ng/L
Calcitonina. edad ≥ 16 años:,,,
Mujeres,Suero,< 8 pg/mL,< 8ng/L
Varones,Suero,< 16 pg/mL,< 16 ng/L
Calcio,Suero,9-10.5 mg/dL,2.2 a 2.6 mmol/L
Antígeno del Cáncer (CA):,,,
CA 125,Suero,< 35 U/mL,< 35 kU/L
CA 15-3,Suero,< 30 U/mL,< 30 kU/L
Contenido de dióxido de carbono (CO2),Suero,23-28 mEq/L,23-28 mmol/L
Presión parcial de dióxido de carbono (PCO2),Sangre,"Arterial: 35–45 mm Hg

Venosas: 38–50 mm Hg","Arterial: 4.7–6.0 kPa

Venosas: 5.1–6.7 kPa"
Carboxihemoglobina,Plasma,0.5–5%,—
